HeartRate,Variance,Label
66.96429,165.7957,Negative
67.56757,150.62373,Negative
67.26457,158.15275,Negative
65.78947,197.43003,Negative
65.78947,197.43003,Negative
67.8733,143.21269,Negative
69.12442,114.83329,Negative
69.44444,108.077,Negative
69.76744,101.46556,Negative
69.76744,101.46556,Negative
67.8733,143.21269,Negative
65.21739,213.83395,Negative
66.0793,189.36948,Negative
66.96429,165.7957,Negative
68.18182,135.92378,Negative
72.46377,54.415487,Negative
74.25743,31.170199,Negative
75,23.42999,Negative
78.53403,1.7067386,Negative
78.94737,0.79760093,Negative
72.81553,49.349494,Negative
69.12442,114.83329,Negative
69.12442,114.83329,Negative
68.80734,121.72961,Negative
69.12442,114.83329,Negative
68.49315,128.76128,Negative
68.49315,128.76128,Negative
70.42254,88.697185,Negative
72.11538,59.676689,Negative
72.46377,54.415487,Negative
72.46377,54.415487,Negative
72.81553,49.349494,Negative
74.25743,31.170199,Negative
74.25743,31.170199,Negative
72.81553,49.349494,Negative
74.25743,31.170199,Negative
74.62687,27.181498,Negative
73.52941,39.829248,Negative
75.75758,16.669891,Negative
76.92308,8.511086,Negative
76.14213,13.677582,Negative
78.53403,1.7067386,Negative
81.52174,2.8267214,Negative
84.26966,19.617896,Negative
87.2093,54.299933,Negative
87.2093,54.299933,Negative
86.7052,47.124776,Negative
85.71429,34.501905,Negative
84.26966,19.617896,Negative
84.26966,19.617896,Negative
86.2069,40.531597,Negative
86.7052,47.124776,Negative
84.74576,24.062059,Negative
82.87293,9.1959028,Negative
82.41758,6.6415935,Negative
82.87293,9.1959028,Negative
81.52174,2.8267214,Negative
80.2139,0.1394651,Negative
82.41758,6.6415935,Negative
82.87293,9.1959028,Negative
80.64516,0.64755465,Negative
81.52174,2.8267214,Negative
83.79888,15.669162,Negative
86.7052,47.124776,Negative
86.7052,47.124776,Negative
84.26966,19.617896,Negative
82.87293,9.1959028,Negative
83.33333,12.20021,Negative
85.71429,34.501905,Negative
85.22727,29.017822,Negative
81.96721,4.5231065,Negative
83.33333,12.20021,Negative
84.74576,24.062059,Negative
83.33333,12.20021,Negative
84.74576,24.062059,Negative
85.71429,34.501905,Negative
84.74576,24.062059,Negative
83.33333,12.20021,Negative
83.33333,12.20021,Negative
82.87293,9.1959028,Negative
80.64516,0.64755465,Negative
81.08108,1.5391568,Negative
81.52174,2.8267214,Negative
80.2139,0.1394651,Negative
81.08108,1.5391568,Negative
80.2139,0.1394651,Negative
77.72021,4.4954441,Negative
78.53403,1.7067386,Negative
79.36508,0.22598055,Negative
78.94737,0.79760093,Negative
79.78723,0.002832309,Negative
81.52174,2.8267214,Negative
81.96721,4.5231065,Negative
80.64516,0.64755465,Negative
79.36508,0.22598055,Negative
78.94737,0.79760093,Negative
77.72021,4.4954441,Negative
75.37688,19.923449,Negative
76.14213,13.677582,Negative
76.14213,13.677582,Negative
74.25743,31.170199,Negative
76.53061,10.955049,Negative
78.53403,1.7067386,Negative
78.53403,1.7067386,Negative
78.53403,1.7067386,Negative
79.78723,0.002832309,Negative
81.08108,1.5391568,Negative
80.2139,0.1394651,Negative
78.53403,1.7067386,Negative
79.78723,0.002832309,Negative
81.08108,1.5391568,Negative
79.36508,0.22598055,Negative
78.125,2.9427807,Negative
78.94737,0.79760093,Negative
80.64516,0.64755465,Negative
78.94737,0.79760093,Negative
75.75758,16.669891,Negative
74.25743,31.170199,Negative
76.53061,10.955049,Negative
78.94737,0.79760093,Negative
78.125,2.9427807,Negative
76.53061,10.955049,Negative
76.53061,10.955049,Negative
75.37688,19.923449,Negative
72.46377,54.415487,Negative
72.11538,59.676689,Negative
75,23.42999,Negative
76.14213,13.677582,Negative
76.14213,13.677582,Negative
78.94737,0.79760093,Negative
81.52174,2.8267214,Negative
82.41758,6.6415935,Negative
81.08108,1.5391568,Negative
78.53403,1.7067386,Negative
75.75758,16.669891,Negative
75,23.42999,Negative
74.62687,27.181498,Negative
73.89163,35.388553,Negative
76.53061,10.955049,Negative
77.31959,6.3547647,Negative
75,23.42999,Negative
74.25743,31.170199,Negative
73.17073,44.485189,Negative
70.09346,95.003922,Negative
68.49315,128.76128,Negative
70.09346,95.003922,Negative
71.42857,70.75976,Negative
72.46377,54.415487,Negative
76.14213,13.677582,Negative
77.72021,4.4954441,Negative
78.94737,0.79760093,Negative
82.41758,6.6415935,Negative
83.33333,12.20021,Negative
81.52174,2.8267214,Negative
77.72021,4.4954441,Negative
74.25743,31.170199,Negative
75,23.42999,Negative
75,23.42999,Negative
71.09005,76.569607,Negative
70.75472,82.550608,Negative
71.09005,76.569607,Negative
70.75472,82.550608,Negative
73.17073,44.485189,Negative
73.52941,39.829248,Negative
71.77033,65.126814,Negative
71.77033,65.126814,Negative
73.52941,39.829248,Negative
72.11538,59.676689,Negative
69.44444,108.077,Negative
68.80734,121.72961,Negative
69.44444,108.077,Negative
69.44444,108.077,Negative
68.49315,128.76128,Negative
71.77033,65.126814,Negative
73.17073,44.485189,Negative
71.77033,65.126814,Negative
73.17073,44.485189,Negative
73.17073,44.485189,Negative
73.17073,44.485189,Negative
75,23.42999,Negative
75,23.42999,Negative
73.89163,35.388553,Negative
73.52941,39.829248,Negative
74.25743,31.170199,Negative
77.72021,4.4954441,Negative
79.36508,0.22598055,Negative
78.53403,1.7067386,Negative
79.78723,0.002832309,Negative
81.08108,1.5391568,Negative
80.64516,0.64755465,Negative
80.2139,0.1394651,Negative
81.08108,1.5391568,Negative
81.96721,4.5231065,Negative
81.52174,2.8267214,Negative
80.64516,0.64755465,Negative
82.41758,6.6415935,Negative
81.52174,2.8267214,Negative
78.53403,1.7067386,Negative
77.31959,6.3547647,Negative
78.53403,1.7067386,Negative
78.125,2.9427807,Negative
76.53061,10.955049,Negative
78.53403,1.7067386,Negative
78.53403,1.7067386,Negative
77.72021,4.4954441,Negative
78.94737,0.79760093,Negative
79.36508,0.22598055,Negative
79.36508,0.22598055,Negative
82.87293,9.1959028,Negative
83.33333,12.20021,Negative
80.64516,0.64755465,Negative
78.53403,1.7067386,Negative
78.125,2.9427807,Negative
76.53061,10.955049,Negative
72.46377,54.415487,Negative
73.52941,39.829248,Negative
74.25743,31.170199,Negative
72.46377,54.415487,Negative
72.81553,49.349494,Negative
74.25743,31.170199,Negative
73.52941,39.829248,Negative
71.77033,65.126814,Negative
72.81553,49.349494,Negative
71.77033,65.126814,Negative
69.44444,108.077,Negative
69.76744,101.46556,Negative
70.75472,82.550608,Negative
70.42254,88.697185,Negative
71.09005,76.569607,Negative
70.75472,82.550608,Negative
71.77033,65.126814,Negative
73.52941,39.829248,Negative
71.77033,65.126814,Negative
71.77033,65.126814,Negative
73.17073,44.485189,Negative
76.14213,13.677582,Negative
79.78723,0.002832309,Negative
83.79888,15.669162,Negative
88.23529,70.473349,Negative
89.82036,99.59852,Negative
86.2069,40.531597,Negative
80.64516,0.64755465,Negative
75,23.42999,Negative
71.77033,65.126814,Negative
70.42254,88.697185,Negative
70.75472,82.550608,Negative
74.62687,27.181498,Negative
76.92308,8.511086,Negative
76.53061,10.955049,Negative
80.2139,0.1394651,Negative
86.2069,40.531597,Negative
90.90909,122.51473,Negative
94.93671,227.89693,Negative
95.5414,246.51976,Negative
96.15385,266.12678,Negative
96.15385,266.12678,Negative
94.93671,227.89693,Negative
94.93671,227.89693,Negative
94.93671,227.89693,Negative
94.93671,227.89693,Negative
94.93671,227.89693,Negative
94.93671,227.89693,Negative
94.93671,227.89693,Negative
94.33962,210.22591,Negative
92.59259,162.61705,Negative
92.02454,148.45196,Negative
90.36145,110.69128,Negative
89.28571,89.212952,Negative
90.36145,110.69128,Negative
89.82036,99.59852,Negative
88.7574,79.511872,Negative
87.7193,62.076195,Negative
88.7574,79.511872,Negative
88.7574,79.511872,Negative
86.7052,47.124776,Negative
84.26966,19.617896,Negative
82.87293,9.1959028,Negative
81.96721,4.5231065,Negative
80.64516,0.64755465,Negative
81.96721,4.5231065,Negative
85.22727,29.017822,Negative
86.7052,47.124776,Negative
87.2093,54.299933,Negative
87.2093,54.299933,Negative
86.2069,40.531597,Negative
83.79888,15.669162,Negative
78.53403,1.7067386,Negative
74.25743,31.170199,Negative
76.53061,10.955049,Negative
79.78723,0.002832309,Negative
78.94737,0.79760093,Negative
80.64516,0.64755465,Negative
81.08108,1.5391568,Negative
78.53403,1.7067386,Negative
79.78723,0.002832309,Negative
81.52174,2.8267214,Negative
77.72021,4.4954441,Negative
74.62687,27.181498,Negative
76.92308,8.511086,Negative
80.2139,0.1394651,Negative
81.52174,2.8267214,Negative
83.33333,12.20021,Negative
85.71429,34.501905,Negative
86.7052,47.124776,Negative
88.7574,79.511872,Negative
90.90909,122.51473,Negative
91.46341,135.09323,Negative
92.02454,148.45196,Negative
93.75,193.47548,Negative
95.5414,246.51976,Negative
95.5414,246.51976,Negative
97.4026,308.4289,Negative
97.4026,308.4289,Negative
98.03922,331.19495,Negative
100,406.40732,Negative
100,406.40732,Negative
99.33775,380.14451,Negative
98.68421,355.08718,Negative
99.33775,380.14451,Negative
100,406.40732,Negative
100,406.40732,Negative
98.03922,331.19495,Negative
95.5414,246.51976,Negative
96.77419,286.75155,Negative
97.4026,308.4289,Negative
96.77419,286.75155,Negative
97.4026,308.4289,Negative
98.03922,331.19495,Negative
99.33775,380.14451,Negative
98.68421,355.08718,Negative
98.03922,331.19495,Negative
100,406.40732,Negative
100.6711,433.91754,Negative
100.6711,433.91754,Negative
98.03922,331.19495,Negative
94.93671,227.89693,Negative
93.75,193.47548,Negative
94.33962,210.22591,Negative
96.77419,286.75155,Negative
96.77419,286.75155,Negative
94.93671,227.89693,Negative
95.5414,246.51976,Negative
96.77419,286.75155,Negative
95.5414,246.51976,Negative
94.93671,227.89693,Negative
96.15385,266.12678,Negative
98.03922,331.19495,Negative
96.77419,286.75155,Negative
96.15385,266.12678,Negative
96.15385,266.12678,Negative
94.33962,210.22591,Negative
94.33962,210.22591,Negative
93.75,193.47548,Negative
90.90909,122.51473,Negative
90.36145,110.69128,Negative
92.59259,162.61705,Negative
94.33962,210.22591,Negative
94.33962,210.22591,Negative
92.59259,162.61705,Negative
90.90909,122.51473,Negative
91.46341,135.09323,Negative
93.75,193.47548,Negative
94.33962,210.22591,Negative
95.5414,246.51976,Negative
96.77419,286.75155,Negative
95.5414,246.51976,Negative
93.75,193.47548,Negative
94.33962,210.22591,Negative
94.33962,210.22591,Negative
92.59259,162.61705,Negative
93.75,193.47548,Negative
93.75,193.47548,Negative
92.59259,162.61705,Negative
90.90909,122.51473,Negative
90.90909,122.51473,Negative
91.46341,135.09323,Negative
90.36145,110.69128,Negative
90.36145,110.69128,Negative
91.46341,135.09323,Negative
90.90909,122.51473,Negative
88.7574,79.511872,Negative
90.36145,110.69128,Negative
91.46341,135.09323,Negative
88.23529,70.473349,Negative
85.22727,29.017822,Negative
86.7052,47.124776,Negative
88.7574,79.511872,Negative
89.28571,89.212952,Negative
91.46341,135.09323,Negative
93.75,193.47548,Negative
96.15385,266.12678,Negative
97.4026,308.4289,Negative
97.4026,308.4289,Negative
98.03922,331.19495,Negative
100,406.40732,Negative
100,406.40732,Negative
97.4026,308.4289,Negative
97.4026,308.4289,Negative
98.68421,355.08718,Negative
98.68421,355.08718,Negative
98.03922,331.19495,Negative
98.03922,331.19495,Negative
99.33775,380.14451,Negative
102.0408,492.85611,Negative
103.4483,557.32928,Negative
102.7397,524.37668,Negative
103.4483,557.32928,Negative
103.4483,557.32928,Negative
104.1667,591.76465,Negative
106.383,704.50565,Negative
107.1429,745.42125,Negative
105.6338,665.29687,Negative
103.4483,557.32928,Negative
102.7397,524.37668,Negative
104.1667,591.76465,Negative
104.1667,591.76465,Negative
102.0408,492.85611,Negative
98.68421,355.08718,Negative
97.4026,308.4289,Negative
97.4026,308.4289,Negative
94.93671,227.89693,Negative
92.59259,162.61705,Negative
90.36145,110.69128,Negative
90.90909,122.51473,Negative
90.36145,110.69128,Negative
88.7574,79.511872,Negative
90.90909,122.51473,Negative
93.75,193.47548,Negative
92.02454,148.45196,Negative
86.7052,47.124776,Negative
84.26966,19.617896,Negative
84.26966,19.617896,Negative
85.22727,29.017822,Negative
85.22727,29.017822,Negative
83.79888,15.669162,Negative
86.2069,40.531597,Negative
90.36145,110.69128,Negative
88.23529,70.473349,Negative
79.78723,0.002832309,Negative
72.11538,59.676689,Negative
71.42857,70.75976,Negative
76.92308,8.511086,Negative
81.08108,1.5391568,Negative
94.93671,227.89693,Negative
93.75,193.47548,Negative
84.74576,24.062059,Negative
92.02454,148.45196,Negative
94.93671,227.89693,Negative
96.15385,266.12678,Negative
98.03922,331.19495,Negative
98.03922,331.19495,Negative
96.15385,266.12678,Negative
97.4026,308.4289,Negative
97.4026,308.4289,Negative
96.15385,266.12678,Negative
96.77419,286.75155,Negative
98.68421,355.08718,Negative
100,406.40732,Negative
99.33775,380.14451,Negative
98.03922,331.19495,Negative
96.77419,286.75155,Negative
96.15385,266.12678,Negative
96.15385,266.12678,Negative
95.5414,246.51976,Negative
90.90909,122.51473,Negative
85.22727,29.017822,Negative
82.41758,6.6415935,Negative
80.2139,0.1394651,Negative
80.64516,0.64755465,Negative
78.94737,0.79760093,Negative
74.25743,31.170199,Negative
71.42857,70.75976,Negative
70.75472,82.550608,Negative
73.52941,39.829248,Negative
74.25743,31.170199,Negative
72.81553,49.349494,Negative
73.17073,44.485189,Negative
74.25743,31.170199,Negative
73.52941,39.829248,Negative
70.42254,88.697185,Negative
69.12442,114.83329,Negative
69.44444,108.077,Negative
67.26457,158.15275,Negative
66.0793,189.36948,Negative
66.96429,165.7957,Negative
65.78947,197.43003,Negative
65.50218,205.58599,Negative
67.56757,150.62373,Negative
67.26457,158.15275,Negative
65.50218,205.58599,Negative
68.49315,128.76128,Negative
67.56757,150.62373,Negative
62.24066,309.75259,Negative
63.29114,273.8798,Negative
63.29114,273.8798,Negative
61.7284,328.04666,Negative
61.7284,328.04666,Negative
60.48387,374.67729,Negative
61.7284,328.04666,Negative
62.5,300.69133,Negative
61.47541,337.27483,Negative
63.82979,256.34143,Negative
64.65517,230.59276,Negative
61.22449,346.5541,Negative
59.05512,432.03017,Positive
58.59375,451.42241,Positive
61.98347,318.87182,Negative
64.65517,230.59276,Negative
63.02521,282.75241,Negative
61.98347,318.87182,Negative
62.5,300.69133,Negative
64.65517,230.59276,Negative
64.65517,230.59276,Negative
63.82979,256.34143,Negative
67.26457,158.15275,Negative
66.37168,181.40782,Negative
62.76151,291.69044,Negative
64.37768,239.09729,Negative
63.02521,282.75241,Negative
64.37768,239.09729,Negative
67.8733,143.21269,Negative
66.37168,181.40782,Negative
