Variance,Label
201.031405,Negative
121.787671,Negative
75.0310367,Negative
108.806862,Negative
65.3985417,Negative
13.9101997,Negative
13.9101997,Negative
48.4104037,Negative
56.5336132,Negative
10.3274958,Negative
1.46078553,Negative
13.9101997,Negative
13.9101997,Negative
7.30970288,Negative
34.2902728,Negative
28.2460698,Negative
1.46078553,Negative
2.89421906,Negative
28.2460698,Negative
65.3985417,Negative
56.5336132,Negative
75.0310367,Negative
135.680331,Negative
96.7068978,Negative
121.787671,Negative
219.99096,Negative
332.481306,Negative
415.729622,Negative
283.777448,Negative
135.680331,Negative
85.457894,Negative
121.787671,Negative
96.7068978,Negative
85.457894,Negative
85.457894,Negative
85.457894,Negative
96.7068978,Negative
65.3985417,Negative
75.0310367,Negative
108.806862,Negative
121.787671,Negative
121.787671,Negative
166.331095,Negative
219.99096,Negative
283.777448,Negative
332.481306,Negative
358.822843,Negative
478.617245,Negative
478.617245,Negative
386.555336,Negative
332.481306,Negative
283.777448,Negative
332.481306,Negative
386.555336,Negative
386.555336,Negative
386.555336,Negative
415.729622,Negative
478.617245,Negative
512.442871,Negative
512.442871,Negative
547.935071,Negative
585.15591,Negative
665.044749,Negative
799.549073,Negative
665.044749,Negative
585.15591,Negative
624.170025,Negative
665.044749,Negative
707.850236,Negative
752.659604,Negative
848.598121,Negative
665.044749,Negative
415.729622,Negative
415.729622,Negative
478.617245,Negative
478.617245,Negative
547.935071,Negative
585.15591,Negative
585.15591,Negative
624.170025,Negative
707.850236,Negative
707.850236,Negative
665.044749,Negative
799.549073,Negative
848.598121,Negative
752.659604,Negative
899.889645,Negative
1068.10292,Negative
1009.54982,Negative
1009.54982,Negative
1068.10292,Negative
1129.2678,Negative
1068.10292,Negative
953.510126,Negative
1068.10292,Negative
1009.54982,Negative
899.889645,Negative
1009.54982,Negative
1129.2678,Negative
1068.10292,Negative
953.510126,Negative
799.549073,Negative
707.850236,Negative
799.549073,Negative
752.659604,Negative
799.549073,Negative
953.510126,Negative
799.549073,Negative
707.850236,Negative
707.850236,Negative
707.850236,Negative
665.044749,Negative
624.170025,Negative
752.659604,Negative
848.598121,Negative
799.549073,Negative
899.889645,Negative
953.510126,Negative
752.659604,Negative
624.170025,Negative
665.044749,Negative
799.549073,Negative
848.598121,Negative
799.549073,Negative
799.549073,Negative
899.889645,Negative
899.889645,Negative
848.598121,Negative
899.889645,Negative
1129.2678,Negative
1193.1472,Negative
1068.10292,Negative
1193.1472,Negative
1259.84845,Negative
1329.4837,Negative
1402.17022,Negative
1259.84845,Negative
1068.10292,Negative
1193.1472,Negative
1402.17022,Negative
1329.4837,Negative
1478.0306,Negative
1402.17022,Negative
1193.1472,Negative
1068.10292,Negative
1068.10292,Negative
1193.1472,Negative
1193.1472,Negative
1129.2678,Negative
1129.2678,Negative
1129.2678,Negative
1009.54982,Negative
1009.54982,Negative
953.510126,Negative
799.549073,Negative
848.598121,Negative
848.598121,Negative
707.850236,Negative
707.850236,Negative
665.044749,Negative
752.659604,Negative
19425.3742,Negative
18518.4684,Negative
799.549073,Negative
799.549073,Negative
707.850236,Negative
585.15591,Negative
446.398583,Negative
307.481844,Negative
386.555336,Negative
386.555336,Negative
261.3229,Negative
201.031405,Negative
135.680331,Negative
108.806862,Negative
135.680331,Negative
150.517011,Negative
135.680331,Negative
183.157235,Negative
240.074693,Negative
201.031405,Negative
150.517011,Negative
166.331095,Negative
201.031405,Negative
96.7068978,Negative
65.3985417,Negative
150.517011,Negative
150.517011,Negative
85.457894,Negative
56.5336132,Negative
18.077296,Negative
1.46078553,Negative
18.077296,Negative
75.0310367,Negative
96.7068978,Negative
75.0310367,Negative
41.0039773,Negative
56.5336132,Negative
121.787671,Negative
135.680331,Negative
65.3985417,Negative
28.2460698,Negative
41.0039773,Negative
48.4104037,Negative
13.9101997,Negative
4.83800352,Negative
22.8489562,Negative
41.0039773,Negative
13.9101997,Negative
13.9101997,Negative
85.457894,Negative
13.9101997,Negative
0.0556927829,Negative
13.9101997,Negative
34.2902728,Negative
96.7068978,Negative
219.99096,Negative
307.481844,Negative
240.074693,Negative
121.787671,Negative
65.3985417,Negative
121.787671,Negative
121.787671,Negative
41.0039773,Negative
34.2902728,Negative
85.457894,Negative
85.457894,Negative
56.5336132,Negative
28.2460698,Negative
28.2460698,Negative
121.787671,Negative
261.3229,Negative
283.777448,Negative
240.074693,Negative
219.99096,Negative
108.806862,Negative
28.2460698,Negative
7.30970288,Negative
7.30970288,Negative
7.30970288,Negative
4.83800352,Negative
56.5336132,Negative
166.331095,Negative
121.787671,Negative
34.2902728,Negative
1.46078553,Negative
1.46078553,Negative
2.89421906,Negative
0.520730549,Negative
1.46078553,Negative
0.520730549,Negative
0.0576511825,Negative
0.520730549,Negative
2.89421906,Negative
0.520730549,Negative
0.0556927829,Negative
0.0576511825,Negative
0.0576511825,Negative
0.0556927829,Negative
0.499528673,Negative
0.0556927829,Negative
0.0556927829,Negative
0.499528673,Negative
1.37434068,Negative
1.37434068,Negative
1.37434068,Negative
1.37434068,Negative
1.37434068,Negative
1.37434068,Negative
4.36005173,Negative
8.90376051,Negative
2.66580049,Negative
4.36005173,Negative
0.0556927829,Negative
65.3985417,Negative
166.331095,Negative
121.787671,Negative
48.4104037,Negative
1.46078553,Negative
0.0556927829,Negative
1.46078553,Negative
1.46078553,Negative
4.83800352,Negative
13.9101997,Negative
75.0310367,Negative
150.517011,Negative
96.7068978,Negative
7.30970288,Negative
0.499528673,Negative
2.66580049,Negative
6.44369282,Negative
2.66580049,Negative
